,Unnamed: 0,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
0,4538,1975,II,Aldabrachelys gigantea,Reptilia,Testudines,Testudinidae,Aldabrachelys,bodies,1.0,,CH,SC,,,,I,,,
1,29585,1975,III,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,bone carvings,7.0,,CA,DE,CA,,,I,,,
2,29586,1975,III,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,bone carvings,7.0,,DE,CA,,,,E,,,
3,29587,1975,III,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,bone carvings,25.0,,BE,CA,,,,E,,,
4,36452,1975,II,Buceros bicornis,Aves,Coraciiformes,Bucerotidae,Buceros,live,1.0,,XX,CH,,,,E,,,
5,62725,1975,II,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,live,1.0,,CH,DE,,P,,I,,,
6,62726,1975,II,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,skins,700.0,,CH,US,,,,I,,,
7,62727,1975,II,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,skins,22.0,,CH,DE,,,,I,,,
8,75399,1975,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,skins,15.0,kg,CH,DE,XX,,,I,,,
9,93293,1975,II,Caiman spp.,Reptilia,Crocodylia,Alligatoridae,Caiman,skins,640.0,sides,CH,DE,,,,I,,,
10,93294,1975,II,Caiman spp.,Reptilia,Crocodylia,Alligatoridae,Caiman,skins,20.0,,CH,DE,,,,I,,,
11,93295,1975,II,Caiman spp.,Reptilia,Crocodylia,Alligatoridae,Caiman,skins,4.0,kg,CH,DE,,,,I,,,
12,93296,1975,II,Caiman spp.,Reptilia,Crocodylia,Alligatoridae,Caiman,skins,70.0,sides,CH,XX,,,,I,,,
13,93297,1975,II,Caiman spp.,Reptilia,Crocodylia,Alligatoridae,Caiman,skins,10.0,sides,CH,FR,,,,I,,,
14,133360,1975,II,Chelonoidis carbonarius,Reptilia,Testudines,Testudinidae,Chelonoidis,live,16.0,,CH,DE,,T,,I,,,
15,142338,1975,I,Crocodylus cataphractus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,skins,717.0,,CH,FR,,,,I,,,
16,142339,1975,I,Crocodylus cataphractus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,skins,45.0,,XX,CH,,,,E,,,
17,142870,1975,I,Crocodylus moreletii,Reptilia,Crocodylia,Crocodylidae,Crocodylus,skins,25.0,,CH,FR,,,,I,,,
