,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
134,10273,10273,5405397,1979,II,Python spp.,Reptilia,Serpentes,Pythonidae,Python,leather products (small),6.0,,SE,TH,,T,,I,,,
296,9543,9543,5320276,1979,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,live,1.0,,DE,DK,,Z,C,E,,,
878,1026,1026,112813,1979,II,Ceratozamia spp.,,Cycadales,Zamiaceae,Ceratozamia,live,2.0,,GB,US,,,,I,,,
216,10713,10713,5429846,1979,II,Tupinambis teguixin,Reptilia,Sauria,Teiidae,Tupinambis,leather products (small),118.0,,CH,IT,XX,,,E,,,
724,11019,11019,5455356,1979,II,Varanus exanthematicus,Reptilia,Sauria,Varanidae,Varanus,live,149.0,,DE,KE,,,,I,,,
417,4998,4998,5043356,1979,II,Bubo bubo,Aves,Strigiformes,Strigidae,Bubo,live,2.0,,CH,DE,,P,C,I,,,
594,7981,7981,5185352,1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory pieces,904.0,kg,HK,FR,CG,T,,I,,,
663,388,388,33968,1979,II,Brassavola spp.,,Orchidales,Orchidaceae,Brassavola,live,1.0,,GB,CO,,,,I,,,
804,11588,11588,5481608,1979,II,Varanus salvator,Reptilia,Sauria,Varanidae,Varanus,skins,1438.0,,CA,GB,XX,,,E,,,
483,12377,12377,13345384,1979,II,Parodia spp.,,Caryophyllales,Cactaceae,Parodia,live,26.0,,DE,GB,,,,E,,,
616,7810,7810,5185181,1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ivory carvings,11.0,kg,GB,TZ,,,,I,,,
316,4604,4604,5003508,1979,II,Aeranthes spp.,,Orchidales,Orchidaceae,Aeranthes,live,10.0,,GB,US,,T,,E,,,
336,4759,4759,5029476,1979,II,Astrophytum spp.,,Caryophyllales,Cactaceae,Astrophytum,live,347.0,,GB,US,,T,,E,,,
570,3923,3923,452158,1979,II,Rhynchostylis spp.,,Orchidales,Orchidaceae,Rhynchostylis,live,30.0,,JP,IN,,,,E,,,
357,2671,2671,304876,1979,II,Leopardus pardalis,Mammalia,Carnivora,Felidae,Leopardus,skins,42.0,,AT,DE,BZ,,,E,,,
384,12478,12478,13464126,1979,II,Tupinambis teguixin,Reptilia,Sauria,Teiidae,Tupinambis,leather products (small),20.0,,CH,IT,XX,,,E,,,
406,10172,10172,5380791,1979,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,shoes,20.0,,DE,IT,SG,,,E,,,
964,6744,6744,5163095,1979,II,Gongora spp.,,Orchidales,Orchidaceae,Gongora,live,21.0,,US,VE,,T,,I,,,
