,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Year,Appendix,Taxon,Class,Order,Family,Genus,Term,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.type,Import.permit.RandomID,Export.permit.RandomID,Origin.permit.RandomID
340,267432,267432,267432,3773722,2007,II,Heliofungia actiniformis,Anthozoa,Scleractinia,Fungiidae,Heliofungia,live,10.0,,JP,ID,,T,W,I,,585a27d205,
321,186852,186852,186852,3448205,2007,I,Scleropages formosus,Actinopteri,Osteoglossiformes,Osteoglossidae,Scleropages,live,1.0,,KR,SG,ID,T,D,I,,4fabdce75b,
157,183165,183165,183165,3441709,2007,II,Scleractinia spp.,Anthozoa,Scleractinia,,,raw corals,250.0,,US,ID,,T,W,E,,12525d1068,
763,866116,866116,866116,13798919,2007,II,Masdevallia spp.,,Orchidales,Orchidaceae,Masdevallia,live,3.0,,DE,CO,,T,A,E,,8ee7d3b228,
109,451405,451405,451405,10209885,2007,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,leather products (small),10.0,,FR,CH,CO,T,W,I,a744852415,9963f5cad4,
560,87644,87644,87644,3209758,2007,II,Euphyllia ancora,Anthozoa,Scleractinia,Caryophylliidae,Euphyllia,live,25.0,,US,ID,,T,W,I,,dcb018c168,
43,153562,153562,153562,3376855,2007,II,Polyphyllia talpina,Anthozoa,Scleractinia,Fungiidae,Polyphyllia,live,5.0,,US,ID,,T,W,E,,5ba8509de3,
341,409947,409947,409947,10063794,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),93.0,,US,CH,US,T,W,I,,b2e0612ac9,
530,942,942,942,3000973,2007,II,Accipiter tachiro,Aves,Falconiformes,Accipitridae,Accipiter,live,1.0,,ZA,SZ,,P,W,I,c021391394,,
644,380465,380465,380465,10034238,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,SA,FR,US,T,C,E,,ff61a823c0,9e7d43e96f
680,206786,206786,206786,3489567,2007,II,Turbinaria peltata,Anthozoa,Scleractinia,Dendrophylliidae,Turbinaria,live,24.0,,US,ID,,T,W,E,,d0707e2677,
14,335371,335371,335371,9738880,2007,II,Galaxea fascicularis,Anthozoa,Scleractinia,Oculinidae,Galaxea,live,25.0,,GB,FJ,,T,W,I,bdd164df63,286c58d5b2,
704,7779,7779,7779,3019906,2007,II,Arctocephalus pusillus,Mammalia,Carnivora,Otariidae,Arctocephalus,trophies,1.0,,DE,,,H,W,I,03543c473d,c4e9b19c1f,
281,207569,207569,207569,3492329,2007,II,Ursus arctos,Mammalia,Carnivora,Ursidae,Ursus,trophies,1.0,,AT,RO,,H,W,I,958ec2720a,ebaed0ff02,
868,694331,694331,694331,10606334,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),1.0,,HK,CH,US,T,C,E,,846f892f3e,b849508690
977,752977,752977,752977,10664980,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),50.0,,CH,DE,US,T,W,I,,9bdcf034ce,a3f3ec1164
595,186820,186820,186820,3448173,2007,I,Scleropages formosus,Actinopteri,Osteoglossiformes,Osteoglossidae,Scleropages,live,1.0,,KR,MY,,T,D,I,,2bf802d169,
837,3312,3312,3312,3006960,2007,II,Aerides leeana,,Orchidales,Orchidaceae,Aerides,live,500.0,,JP,KR,,T,A,E,,04eec3d50b,
936,300843,300843,300843,3878212,2007,II,Pilosocereus pachycladus,,Caryophyllales,Cactaceae,Pilosocereus,live,60.0,,CH,NL,,T,A,I,,16fbccb3ad,
479,539411,539411,539411,10332131,2007,II,Merulina ampliata,Anthozoa,Scleractinia,Merulinidae,Merulina,live,6.0,,US,FJ,,T,W,I,,fb32009633,
739,826692,826692,826692,11312759,2007,II,Mammillaria elongata,,Caryophyllales,Cactaceae,Mammillaria,live,72.0,,US,CA,,T,A,E,,44d3cbc13e,
555,837418,837418,837418,11349273,2007,II,Parodia magnifica,,Caryophyllales,Cactaceae,Parodia,live,40.0,,US,CA,,T,A,E,,bf126502ad,
650,129247,129247,129247,3302455,2007,II,Montipora spp.,Anthozoa,Scleractinia,Acroporidae,Montipora,live,8.0,,US,ID,,T,W,E,,fae57d75e1,
304,437669,437669,437669,10192250,2007,II,Amazona ochrocephala,Aves,Psittaciformes,Psittacidae,Amazona,live,22.0,,SG,GY,,T,W,I,,406bb8e3ee,
385,339840,339840,339840,9795848,2007,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,specimens,52.0,,US,DE,MU,S,F,E,,58fb754292,a0352e0fa2
552,517350,517350,517350,10298952,2007,II,Hydnophora exesa,Anthozoa,Scleractinia,Merulinidae,Hydnophora,live,12.0,,FR,ID,,T,W,I,2cbf00b501,1e6250634c,
611,329224,329224,329224,9637992,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),2.0,,TR,DE,US,T,W,E,,3687f1a8db,441839fb51
465,822447,822447,822447,11274649,2007,II,Gymnocalycium schickendantzii,,Caryophyllales,Cactaceae,Gymnocalycium,live,5.0,,US,CA,,T,A,E,,83bdea6109,
6,552159,552159,552159,10351647,2007,II,Ornithoptera spp.,Insecta,Lepidoptera,Papilionidae,Ornithoptera,bodies,4.0,,CA,SG,PG,E,C,E,,2dc161ee34,
954,260272,260272,260272,3739853,2007,II,Euphyllia glabrescens,Anthozoa,Scleractinia,Caryophylliidae,Euphyllia,live,10.0,,HK,ID,,T,W,I,,dbf7043854,
886,749627,749627,749627,10661630,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),21.0,,CH,FR,US,T,W,I,,0b0a3ae41f,b3621630e9
225,677866,677866,677866,10589869,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),5.0,,HK,CH,US,T,C,E,,7cf983aa65,5bb51acf02
48,561309,561309,561309,10366990,2007,II,Phalaenopsis spp.,,Orchidales,Orchidaceae,Phalaenopsis,live,850.0,,NL,CN,,T,A,E,,bbf8d2d02a,
982,728550,728550,728550,10640553,2007,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,leather products (small),2.0,,SA,CH,US,T,W,E,,57d5dd2b38,bc870f8b67
153,811417,811417,811417,10997439,2007,II,Weberbauerocereus winterianus,,Caryophyllales,Cactaceae,Weberbauerocereus,live,1.0,,CH,DE,,T,A,I,,82bf9909a8,
246,232786,232786,232786,3598952,2007,II,Centrochelys sulcata,Reptilia,Testudines,Testudinidae,Centrochelys,live,110.0,,JP,US,,T,C,I,,8cb76a335d,
887,55937,55937,55937,3133454,2007,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,skins,1.0,,US,IT,ZW,T,W,I,,4ac29360bb,
