Transportation Emissions by State (1980 - 2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
million metric tons of carbon dioxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change from 1980 - 2016,,
State,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Percent,Absolute,
Alabama,24.8,24.2,23.5,22.9,23.8,23.5,24.5,26.0,26.3,28.3,28.0,28.6,29.3,29.4,30.6,32.1,31.4,31.1,31.6,32.0,33.4,31.4,33.4,32.3,34.8,34.7,35.3,35.6,33.0,31.9,32.2,32.3,31.8,31.6,31.6,32.9,34.7,39.9%,9.9,
Alaska,6.4,7.2,7.3,8.3,10.1,10.9,10.6,9.5,10.7,12.4,12.0,11.1,10.8,11.0,11.2,12.3,11.8,13.3,13.5,14.6,15.5,14.5,14.8,15.5,18.8,18.7,18.9,17.8,15.3,13.5,14.9,14.2,13.3,12.3,11.7,12.2,11.9,85.9%,5.5,
Arizona,18.5,18.7,18.3,18.5,19.6,20.5,21.1,21.9,22.6,22.6,22.7,23.3,23.6,24.9,25.6,26.1,27.6,27.6,29.8,31.5,32.3,33.3,34.2,35.2,36.0,36.7,37.9,37.4,34.4,32.3,31.6,31.3,30.7,31.1,31.3,31.9,33.1,78.9%,14.6,
Arkansas,14.3,14.7,14.7,13.7,14.5,14.3,14.7,15.3,16.0,16.5,16.0,16.2,16.1,16.8,18.0,18.4,18.7,19.3,19.5,20.7,20.8,19.7,20.3,20.2,20.5,20.5,20.5,20.8,20.1,19.9,19.6,19.4,18.7,18.7,19.0,18.8,19.4,35.7%,5.1,
California,170.9,169.3,160.3,161.8,170.2,169.5,175.2,184.7,195.4,201.8,203.2,192.5,192.2,188.5,197.0,201.2,204.4,198.8,199.6,204.0,215.1,211.0,223.2,213.2,222.7,228.6,232.9,235.5,219.7,213.7,209.2,201.8,196.9,197.7,200.1,205.7,213.0,24.6%,42.1,
Colorado,17.7,17.6,18.3,18.0,18.7,19.4,19.6,19.8,19.2,18.6,19.0,19.2,19.5,21.3,21.6,22.3,22.8,22.6,23.7,25.2,25.5,26.9,26.7,26.3,29.0,29.6,30.4,31.0,29.5,28.7,29.0,28.0,27.9,27.5,28.2,27.9,28.2,59.3%,10.5,
Connecticut,13.2,12.9,13.2,13.3,13.9,14.0,14.2,14.9,15.4,15.5,14.6,14.5,14.6,14.7,14.6,14.3,15.1,15.2,15.4,16.6,16.1,16.9,16.8,17.3,19.2,18.3,17.5,17.4,16.4,16.0,15.7,15.5,15.1,15.2,15.1,15.1,15.3,15.9%,2.1,
Delaware,3.9,3.7,3.5,4.0,4.1,4.1,4.3,4.7,4.6,4.7,4.5,5.1,4.7,4.9,4.6,4.3,4.8,4.7,4.7,4.9,5.1,4.7,4.9,4.8,4.9,5.2,5.2,5.2,5.0,4.8,4.3,4.1,4.2,4.1,4.2,4.4,4.6,17.9%,0.7,
District of Columbia,1.9,2.0,2.6,2.0,1.9,1.9,2.1,1.9,2.0,2.0,1.8,1.8,1.8,1.9,1.8,1.8,1.7,1.8,1.7,1.7,1.8,1.7,1.6,1.6,1.7,1.4,1.2,1.2,1.0,1.1,1.0,1.1,1.0,1.0,1.1,1.1,1.1,-42.1%,-0.8,
Florida,68.2,68.2,66.9,66.8,65.5,67.9,71.7,76.1,80.6,81.4,81.4,77.1,79.9,78.9,84.4,86.5,87.2,90.4,91.8,94.5,100.3,98.8,101.2,99.6,110.6,113.5,116.0,114.4,103.7,97.2,104.2,102.4,99.5,100.0,101.1,104.8,103.6,51.9%,35.4,
