,State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Percent,Absolute,Longitude,Latitude,Percent_Change_1991_1990,Percent_Change_1992_1990,Percent_Change_1993_1990,Percent_Change_1994_1990,Percent_Change_1995_1990,Percent_Change_1996_1990,Percent_Change_1997_1990,Percent_Change_1998_1990,Percent_Change_1999_1990,Percent_Change_2000_1990,Percent_Change_2001_1990,Percent_Change_2002_1990,Percent_Change_2003_1990,Percent_Change_2004_1990,Percent_Change_2005_1990,Percent_Change_2006_1990,Percent_Change_2007_1990,Percent_Change_2008_1990,Percent_Change_2009_1990,Percent_Change_2010_1990,Percent_Change_2011_1990,Percent_Change_2012_1990,Percent_Change_2013_1990,Percent_Change_2014_1990,Percent_Change_2015_1990,Percent_Change_2016_1990
0,Alabama,64.2,68.2,72.9,76.5,72.8,78.0,83.9,81.7,80.8,81.7,85.3,79.4,79.8,82.3,80.5,84.0,83.7,83.8,79.5,59.5,67.8,61.4,51.6,53.3,54.3,46.6,38.6,-37.3%,-23.0,-86.68348391132949,32.624818960315395,6.230529595015576,13.551401869158882,19.15887850467289,13.395638629283479,21.49532710280373,30.685358255451717,27.258566978193144,25.856697819314633,27.258566978193144,32.86604361370715,23.676012461059194,24.299065420560737,28.193146417445476,25.389408099688467,30.841121495327094,30.373831775700932,30.529595015576316,23.831775700934575,-7.320872274143306,5.6074766355140095,-4.36137071651091,-19.626168224299068,-16.978193146417453,-15.420560747663558,-27.41433021806854,-39.875389408099686
1,Alaska,1.2,1.2,1.2,1.3,1.2,1.2,1.0,1.1,1.6,1.5,1.6,1.5,1.5,1.2,1.3,1.3,1.4,1.3,1.4,1.4,1.4,1.5,1.5,1.4,1.7,1.8,1.6,300.0%,1.2,-154.1049168421551,61.49463399160149,0.0,0.0,8.333333333333341,0.0,0.0,-16.666666666666664,-8.333333333333323,33.33333333333335,25.000000000000007,33.33333333333335,25.000000000000007,25.000000000000007,0.0,8.333333333333341,8.333333333333341,16.666666666666664,8.333333333333341,16.666666666666664,16.666666666666664,16.666666666666664,25.000000000000007,25.000000000000007,16.666666666666664,41.66666666666667,50.000000000000014,33.33333333333335
2,Arizona,32.3,32.7,34.8,36.7,37.9,32.4,32.4,34.9,36.5,38.1,40.9,40.0,38.4,38.4,40.2,40.5,40.8,41.4,43.3,39.0,43.2,43.4,39.7,43.0,42.3,36.4,30.6,33.0%,7.6,-111.93368809976758,34.169779998700335,1.2383900928792748,7.739938080495357,13.622291021671845,17.337461300309602,0.3095975232198187,0.3095975232198187,8.049535603715176,13.003095975232206,17.95665634674924,26.625386996904034,23.83900928792571,18.885448916408677,18.885448916408677,24.458204334365345,25.386996904024777,26.315789473684216,28.173374613003105,34.05572755417957,20.743034055727566,33.746130030959776,34.36532507739939,22.910216718266273,33.12693498452013,30.959752321981426,12.693498452012388,-5.263157894736829
3,Arkansas,20.0,20.3,20.8,18.9,21.0,22.4,24.5,23.3,24.1,25.2,25.3,25.9,24.1,23.9,25.5,23.3,24.3,26.0,26.3,24.9,27.7,28.9,28.0,30.9,32.0,21.4,23.3,585.3%,19.9,-92.13136814730896,34.751481341407754,1.5000000000000036,4.0000000000000036,-5.500000000000007,5.0,11.999999999999993,22.5,16.500000000000004,20.500000000000007,25.999999999999996,26.5,29.499999999999993,20.500000000000007,19.499999999999993,27.500000000000004,16.500000000000004,21.500000000000004,30.0,31.500000000000007,24.499999999999993,38.49999999999999,44.49999999999999,40.0,54.49999999999999,60.0,6.999999999999992,16.500000000000004
4,California,8.0,8.5,8.7,8.0,8.0,8.0,7.6,7.8,6.3,6.6,6.6,6.4,6.6,6.5,6.5,6.4,6.3,6.3,6.0,4.9,5.2,5.2,4.1,3.6,3.7,2.9,3.0,-50.8%,-3.1,-119.2589342005981,37.268986550836104,6.25,8.749999999999991,0.0,0.0,0.0,-5.000000000000004,-2.500000000000002,-21.250000000000004,-17.500000000000004,-17.500000000000004,-19.999999999999996,-17.500000000000004,-18.75,-18.75,-19.999999999999996,-21.250000000000004,-21.250000000000004,-25.0,-38.74999999999999,-35.0,-35.0,-48.75000000000001,-55.00000000000001,-53.75,-63.74999999999999,-62.5
5,Colorado,31.8,31.2,32.0,32.7,33.9,32.5,33.1,34.2,34.5,34.4,36.6,37.8,36.9,37.2,36.8,36.5,37.2,36.7,36.4,33.1,36.1,34.8,34.9,34.3,33.1,32.1,30.4,31.6%,7.3,-105.54653433386613,38.996184486814,-1.8867924528301931,0.6289308176100606,2.8301886792452895,6.603773584905653,2.201257861635218,4.088050314465411,7.547169811320761,8.490566037735848,8.17610062893081,15.094339622641511,18.867924528301874,16.0377358490566,16.981132075471706,15.72327044025156,14.779874213836475,16.981132075471706,15.408805031446548,14.46540880503144,4.088050314465411,13.522012578616355,9.433962264150932,9.748427672955968,7.861635220125775,4.088050314465411,0.9433962264150966,-4.402515723270447
6,Connecticut,3.6,3.6,3.7,3.5,3.6,3.8,3.9,4.2,3.1,1.4,3.4,3.8,3.2,4.0,4.2,4.0,4.3,3.8,4.3,2.5,2.7,0.6,0.9,0.7,0.9,0.6,0.2,- -,0.2,-72.75674325127324,41.52291024542333,0.0,2.77777777777778,-2.77777777777778,0.0,5.555555555555548,8.333333333333329,16.666666666666668,-13.88888888888889,-61.111111111111114,-5.55555555555556,5.555555555555548,-11.111111111111107,11.111111111111107,16.666666666666668,11.111111111111107,19.444444444444436,5.555555555555548,19.444444444444436,-30.555555555555557,-24.999999999999996,-83.33333333333333,-75.0,-80.55555555555556,-75.0,-83.33333333333333,-94.44444444444444
7,Delaware,5.6,5.4,4.3,6.0,5.4,5.0,4.8,4.6,4.3,3.4,4.7,3.6,3.8,4.4,5.1,5.4,5.3,6.0,5.8,3.2,2.9,1.7,1.6,1.7,1.0,0.7,0.8,-69.2%,-1.8,-75.41835880264054,39.14486060367366,-3.5714285714285587,-23.21428571428571,7.1428571428571495,-3.5714285714285587,-10.714285714285708,-14.285714285714283,-17.857142857142858,-23.21428571428571,-39.285714285714285,-16.071428571428566,-35.71428571428571,-32.14285714285714,-21.428571428571416,-8.928571428571429,-3.5714285714285587,-5.357142857142854,7.1428571428571495,3.5714285714285747,-42.85714285714285,-48.214285714285715,-69.64285714285714,-71.42857142857143,-69.64285714285714,-82.14285714285714,-87.5,-85.71428571428572
8,District of Columbia,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0%,-0.3,-77.01661651028331,38.89088754438629,0.0,-50.0,-50.0,-50.0,-100.0,-50.0,-50.0,-100.0,-100.0,-100.0,-50.0,-100.0,-100.0,-50.0,-50.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
9,Florida,59.7,61.3,61.2,61.7,62.6,64.8,70.4,71.0,70.8,67.6,71.8,68.5,67.9,68.3,66.0,63.5,65.8,68.1,65.5,54.9,60.2,52.2,45.6,47.7,52.7,44.1,40.2,90.5%,19.1,-83.83831121052137,27.979766789918585,2.6800670016750323,2.5125628140703515,3.350083752093802,4.85762144053601,8.542713567839186,17.922948073701846,18.92797319932998,18.592964824120592,13.232830820770506,20.268006700167494,14.740368509212725,13.735343383584594,14.40536013400334,10.552763819095471,6.3651591289782194,10.217755443886087,14.070351758793956,9.71524288107202,-8.040201005025132,0.8375209380234505,-12.562814070351758,-23.61809045226131,-20.100502512562812,-11.725293132328307,-26.13065326633166,-32.66331658291457
