,State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Percent,Absolute,Longitude,Latitude,Percent_Change_1991_1990,Percent_Change_1992_1990,Percent_Change_1993_1990,Percent_Change_1994_1990,Percent_Change_1995_1990,Percent_Change_1996_1990,Percent_Change_1997_1990,Percent_Change_1998_1990,Percent_Change_1999_1990,Percent_Change_2000_1990,Percent_Change_2001_1990,Percent_Change_2002_1990,Percent_Change_2003_1990,Percent_Change_2004_1990,Percent_Change_2005_1990,Percent_Change_2006_1990,Percent_Change_2007_1990,Percent_Change_2008_1990,Percent_Change_2009_1990,Percent_Change_2010_1990,Percent_Change_2011_1990,Percent_Change_2012_1990,Percent_Change_2013_1990,Percent_Change_2014_1990,Percent_Change_2015_1990,Percent_Change_2016_1990
0,Alabama,2.4,2.0,2.1,2.0,2.1,2.0,2.2,2.4,1.9,2.2,2.2,2.2,2.0,2.1,2.2,1.8,2.2,2.0,2.0,1.9,2.1,2.0,1.8,1.8,1.9,2.2,2.2,-15.4%,-0.4,-86.68348391132947,32.624818960315395,-16.666666666666664,-12.499999999999993,-16.666666666666664,-12.499999999999993,-16.666666666666664,-8.333333333333323,0.0,-20.833333333333336,-8.333333333333323,-8.333333333333323,-8.333333333333323,-16.666666666666664,-12.499999999999993,-8.333333333333323,-24.999999999999993,-8.333333333333323,-16.666666666666664,-16.666666666666664,-20.833333333333336,-12.499999999999993,-16.666666666666664,-24.999999999999993,-24.999999999999993,-20.833333333333336,-8.333333333333323,-8.333333333333323
1,Alaska,2.2,2.2,2.5,2.5,2.6,2.5,2.7,2.5,2.6,2.8,2.7,2.5,2.0,1.9,2.2,2.1,2.4,2.2,2.3,2.2,2.6,2.8,2.6,2.4,2.3,2.6,2.0,66.7%,0.8,-154.1049168421551,61.494633991601496,0.0,13.636363636363628,13.636363636363628,18.181818181818176,13.636363636363628,22.727272727272727,13.636363636363628,18.181818181818176,27.272727272727256,22.727272727272727,13.636363636363628,-9.090909090909099,-13.636363636363647,0.0,-4.545454545454549,9.09090909090908,0.0,4.545454545454529,0.0,18.181818181818176,27.272727272727256,18.181818181818176,9.09090909090908,4.545454545454529,18.181818181818176,-9.090909090909099
2,Arizona,1.9,1.8,1.8,1.7,1.8,1.8,1.9,2.0,2.3,2.2,2.2,2.1,2.2,2.0,2.0,2.0,2.0,2.1,2.4,2.2,2.4,2.4,2.3,2.4,2.2,2.9,2.9,61.1%,1.1,-111.93368809976756,34.16977999870033,-5.263157894736835,-5.263157894736835,-10.526315789473681,-5.263157894736835,-5.263157894736835,0.0,5.263157894736848,21.052631578947363,15.789473684210542,15.789473684210542,10.526315789473696,15.789473684210542,5.263157894736848,5.263157894736848,5.263157894736848,5.263157894736848,10.526315789473696,26.31578947368421,15.789473684210542,26.31578947368421,26.31578947368421,21.052631578947363,26.31578947368421,15.789473684210542,52.63157894736842,52.63157894736842
3,Arkansas,1.6,1.6,1.6,1.8,1.7,1.8,1.9,1.8,1.8,1.8,2.1,2.1,2.1,2.2,2.0,2.1,1.9,1.9,2.2,2.5,2.6,2.5,2.5,2.8,3.1,3.1,2.9,38.1%,0.8,-92.13136814730896,34.751481341407754,0.0,0.0,12.499999999999996,6.249999999999992,12.499999999999996,18.74999999999999,12.499999999999996,12.499999999999996,12.499999999999996,31.25,31.25,31.25,37.50000000000001,24.999999999999993,31.25,18.74999999999999,18.74999999999999,37.50000000000001,56.249999999999986,62.5,56.249999999999986,56.249999999999986,74.99999999999997,93.75,93.75,81.24999999999999
4,California,19.0,19.1,17.4,15.5,15.9,17.0,14.7,15.3,17.8,14.9,14.4,14.8,14.2,14.0,14.1,14.2,14.4,15.1,15.6,15.6,16.1,15.7,15.9,15.9,15.1,18.6,18.9,-6.4%,-1.3,-119.25893420059809,37.2689865508361,0.5263157894736916,-8.421052631578956,-18.421052631578945,-16.31578947368421,-10.526315789473683,-22.631578947368425,-19.47368421052631,-6.315789473684206,-21.57894736842105,-24.210526315789473,-22.105263157894733,-25.26315789473685,-26.31578947368421,-25.789473684210527,-25.26315789473685,-24.210526315789473,-20.52631578947369,-17.894736842105267,-17.894736842105267,-15.263157894736834,-17.368421052631582,-16.31578947368421,-16.31578947368421,-20.52631578947369,-2.1052631578947296,-0.5263157894736916
5,Colorado,3.7,4.2,4.0,4.1,4.0,3.9,4.1,4.1,3.7,3.8,3.7,4.4,4.3,4.2,4.0,4.0,3.7,3.7,4.5,4.6,4.2,3.9,3.3,3.7,3.7,4.0,3.9,0.0%,0.0,-105.54653433386612,38.996184486813995,13.513513513513512,8.108108108108103,10.810810810810796,8.108108108108103,5.405405405405398,10.810810810810796,10.810810810810796,0.0,2.7027027027026933,0.0,18.918918918918923,16.216216216216207,13.513513513513512,8.108108108108103,8.108108108108103,0.0,0.0,21.621621621621614,24.32432432432431,13.513513513513512,5.405405405405398,-10.81081081081082,0.0,0.0,8.108108108108103,5.405405405405398
6,Connecticut,3.8,3.6,4.3,3.8,4.1,3.8,4.1,4.3,4.0,4.3,4.5,4.3,4.1,4.9,3.9,3.7,3.3,3.3,3.4,3.3,3.3,3.6,3.2,3.6,3.8,4.3,3.9,25.8%,0.8,-72.75674325127324,41.522910245423326,-5.263157894736835,13.157894736842104,0.0,7.894736842105258,0.0,7.894736842105258,13.157894736842104,5.263157894736848,13.157894736842104,18.421052631578952,13.157894736842104,7.894736842105258,28.947368421052648,2.631578947368424,-2.631578947368412,-13.157894736842104,-13.157894736842104,-10.526315789473681,-13.157894736842104,-13.157894736842104,-5.263157894736835,-15.789473684210517,-5.263157894736835,0.0,13.157894736842104,2.631578947368424
7,Delaware,0.6,0.6,0.5,0.7,0.6,0.6,0.7,0.7,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.7,0.7,0.7,0.6,0.8,0.8,0.7,0.7,0.8,0.8,0.9,0.9,-65.4%,-1.7,-75.41835880264054,39.144860603673656,0.0,-16.666666666666664,16.666666666666664,0.0,0.0,16.666666666666664,16.666666666666664,0.0,0.0,0.0,16.666666666666664,16.666666666666664,33.33333333333335,33.33333333333335,16.666666666666664,16.666666666666664,16.666666666666664,0.0,33.33333333333335,33.33333333333335,16.666666666666664,16.666666666666664,33.33333333333335,33.33333333333335,50.000000000000014,50.000000000000014
8,District of Columbia,1.2,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.2,1.3,1.4,1.3,1.2,1.3,1.3,1.1,1.2,1.1,1.2,1.2,1.1,0.9,1.0,1.0,1.0,0.9,-25.0%,-0.3,-77.01661651028331,38.89088754438629,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,8.333333333333341,0.0,8.333333333333341,16.666666666666664,8.333333333333341,0.0,8.333333333333341,8.333333333333341,-8.333333333333323,0.0,-8.333333333333323,0.0,0.0,-8.333333333333323,-24.999999999999993,-16.666666666666664,-16.666666666666664,-16.666666666666664,-24.999999999999993
9,Florida,6.3,6.0,6.0,4.8,4.3,4.3,4.2,3.6,3.5,3.6,4.8,4.9,5.0,4.9,5.8,5.7,5.2,4.7,4.8,4.8,5.3,4.7,4.7,5.1,5.3,6.8,7.3,62.2%,2.8,-83.83831121052137,27.979766789918585,-4.761904761904759,-4.761904761904759,-23.80952380952381,-31.746031746031743,-31.746031746031743,-33.33333333333333,-42.857142857142854,-44.44444444444444,-42.857142857142854,-23.80952380952381,-22.222222222222214,-20.634920634920633,-22.222222222222214,-7.936507936507936,-9.523809523809518,-17.460317460317455,-25.39682539682539,-23.80952380952381,-23.80952380952381,-15.873015873015872,-25.39682539682539,-25.39682539682539,-19.04761904761905,-15.873015873015872,7.936507936507936,15.873015873015872
10,Georgia,3.9,3.6,4.0,4.0,3.9,4.1,4.1,4.1,3.7,3.3,4.1,3.8,3.4,3.4,3.8,3.6,3.2,3.2,3.4,3.5,4.0,3.8,3.6,4.0,4.1,4.7,4.6,21.1%,0.8,-83.25185689899675,32.68082922876843,-7.692307692307689,2.5641025641025665,2.5641025641025665,0.0,5.1282051282051215,5.1282051282051215,5.1282051282051215,-5.1282051282051215,-15.384615384615389,5.1282051282051215,-2.5641025641025665,-12.820512820512823,-12.820512820512823,-2.5641025641025665,-7.692307692307689,-17.948717948717942,-17.948717948717942,-12.820512820512823,-10.256410256410255,2.5641025641025665,-2.5641025641025665,-7.692307692307689,2.5641025641025665,5.1282051282051215,20.51282051282052,17.948717948717942
11,Hawaii,0.6,0.3,0.8,0.2,0.4,0.2,0.1,0.2,1.0,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.4,0.3,0.0%,0.0,-157.516751085128,20.575453090217934,-50.0,33.33333333333335,-66.66666666666666,-33.33333333333333,-66.66666666666666,-83.33333333333334,-66.66666666666666,66.66666666666667,-66.66666666666666,-66.66666666666666,-83.33333333333334,-66.66666666666666,-66.66666666666666,-66.66666666666666,-66.66666666666666,-66.66666666666666,-66.66666666666666,-66.66666666666666,-50.0,-66.66666666666666,-50.0,-50.0,-50.0,-50.0,-33.33333333333333,-50.0
12,Idaho,0.8,0.9,0.9,0.8,0.8,0.8,1.0,0.9,0.9,1.1,1.1,1.0,1.0,0.9,1.0,1.0,1.0,1.1,1.1,1.0,1.1,1.2,1.1,1.2,1.2,1.3,1.4,55.6%,0.5,-114.14184603145195,45.497274995139726,12.499999999999996,12.499999999999996,0.0,0.0,0.0,24.999999999999993,12.499999999999996,12.499999999999996,37.50000000000001,37.50000000000001,24.999999999999993,24.999999999999993,12.499999999999996,24.999999999999993,24.999999999999993,24.999999999999993,37.50000000000001,37.50000000000001,24.999999999999993,37.50000000000001,49.999999999999986,37.50000000000001,49.999999999999986,49.999999999999986,62.5,74.99999999999997
13,Illinois,12.4,11.9,12.1,12.5,12.2,12.4,13.3,12.9,11.0,11.4,12.2,11.6,12.3,12.8,12.1,11.7,11.5,11.7,13.1,13.1,11.5,12.4,10.9,13.5,14.3,13.4,13.3,-11.3%,-1.7,-89.51209675156687,39.74809300028514,-4.032258064516129,-2.4193548387096833,0.8064516129032229,-1.6129032258064602,0.0,7.258064516129036,4.032258064516129,-11.290322580645164,-8.064516129032258,-1.6129032258064602,-6.451612903225811,-0.8064516129032229,3.2258064516129057,-2.4193548387096833,-5.645161290322589,-7.258064516129036,-5.645161290322589,5.645161290322575,5.645161290322575,-7.258064516129036,0.0,-12.096774193548386,8.87096774193548,15.322580645161294,8.064516129032258,7.258064516129036
14,Indiana,5.4,5.3,5.5,5.7,5.6,5.6,6.0,5.8,5.5,5.4,6.2,5.6,5.8,6.7,6.4,5.4,4.7,5.1,6.1,5.8,5.4,5.3,4.6,5.4,5.9,5.4,5.2,-17.5%,-1.1,-86.44446799923962,39.770882296601854,-1.8518518518518614,1.8518518518518452,5.555555555555552,3.7037037037036904,3.7037037037036904,11.111111111111104,7.407407407407398,1.8518518518518452,0.0,14.814814814814811,3.7037037037036904,7.407407407407398,24.07407407407407,18.51851851851852,0.0,-12.962962962962965,-5.555555555555569,12.962962962962948,7.407407407407398,0.0,-1.8518518518518614,-14.814814814814827,0.0,9.25925925925926,0.0,-3.703703703703707
15,Iowa,2.7,3.0,2.6,2.7,2.4,2.6,3.2,3.3,2.9,3.4,3.2,3.2,3.3,3.4,3.1,3.1,3.5,3.7,4.1,4.3,4.1,4.2,3.8,4.6,4.6,4.3,3.5,2.9%,0.1,-93.39175299369869,41.93670200422355,11.111111111111104,-3.703703703703707,0.0,-11.11111111111112,-3.703703703703707,18.51851851851852,22.222222222222207,7.407407407407398,25.925925925925913,18.51851851851852,18.51851851851852,22.222222222222207,25.925925925925913,14.814814814814811,14.814814814814811,29.629629629629623,37.03703703703704,51.851851851851826,59.259259259259245,51.851851851851826,55.55555555555555,40.740740740740726,70.37037037037035,70.37037037037035,59.259259259259245,29.629629629629623
16,Kansas,3.2,3.4,3.1,3.3,3.1,3.2,3.5,2.5,2.5,2.4,2.5,2.4,2.4,2.4,2.3,1.8,1.7,1.9,2.1,2.0,2.0,1.9,1.6,2.0,2.2,2.5,2.4,-29.4%,-1.0,-98.32637995376105,38.49593176023882,6.249999999999992,-3.1250000000000027,3.124999999999989,-3.1250000000000027,0.0,9.374999999999995,-21.875000000000007,-21.875000000000007,-25.000000000000007,-21.875000000000007,-25.000000000000007,-25.000000000000007,-25.000000000000007,-28.12500000000001,-43.75,-46.87500000000001,-40.62500000000001,-34.375,-37.50000000000001,-37.50000000000001,-40.62500000000001,-50.0,-37.50000000000001,-31.25,-21.875000000000007,-25.000000000000007
17,Kentucky,2.6,2.8,3.0,3.0,3.2,3.1,3.2,3.4,2.9,3.4,3.2,3.0,3.1,3.0,3.1,3.0,2.5,2.5,2.6,2.3,2.4,2.3,2.0,2.4,2.5,2.6,2.7,-35.7%,-1.5,-85.7639032059621,37.81931710267671,7.692307692307682,15.38461538461538,15.38461538461538,23.076923076923077,19.23076923076923,23.076923076923077,30.76923076923076,11.538461538461531,30.76923076923076,23.076923076923077,15.38461538461538,19.23076923076923,15.38461538461538,19.23076923076923,15.38461538461538,-3.8461538461538494,-3.8461538461538494,0.0,-11.538461538461549,-7.692307692307699,-11.538461538461549,-23.076923076923077,-7.692307692307699,-3.8461538461538494,0.0,3.8461538461538494
18,Louisiana,1.9,1.9,2.0,1.8,1.7,1.5,1.6,1.8,1.6,1.8,2.6,2.0,1.9,2.4,2.2,2.1,1.5,2.7,1.6,2.0,1.9,1.9,1.9,1.8,2.0,2.2,2.2,-76.6%,-7.2,-91.53179415196469,30.981539061324927,0.0,5.263157894736848,-5.263157894736835,-10.526315789473681,-21.052631578947363,-15.789473684210517,-5.263157894736835,-15.789473684210517,-5.263157894736835,36.842105263157904,5.263157894736848,0.0,26.31578947368421,15.789473684210542,10.526315789473696,-21.052631578947363,42.105263157894754,-15.789473684210517,5.263157894736848,0.0,0.0,0.0,-5.263157894736835,5.263157894736848,15.789473684210542,15.789473684210542
