,State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Percent,Absolute,Longitude,Latitude,Percent_Change_1991_1990,Percent_Change_1992_1990,Percent_Change_1993_1990,Percent_Change_1994_1990,Percent_Change_1995_1990,Percent_Change_1996_1990,Percent_Change_1997_1990,Percent_Change_1998_1990,Percent_Change_1999_1990,Percent_Change_2000_1990,Percent_Change_2001_1990,Percent_Change_2002_1990,Percent_Change_2003_1990,Percent_Change_2004_1990,Percent_Change_2005_1990,Percent_Change_2006_1990,Percent_Change_2007_1990,Percent_Change_2008_1990,Percent_Change_2009_1990,Percent_Change_2010_1990,Percent_Change_2011_1990,Percent_Change_2012_1990,Percent_Change_2013_1990,Percent_Change_2014_1990,Percent_Change_2015_1990,Percent_Change_2016_1990
0,Alabama,50.9,54.8,57.6,63.6,59.6,65.1,70.3,68.6,70.6,71.8,76.7,73.9,77.4,78.2,77.6,81.3,83.6,85.9,81.0,66.4,76.7,74.0,66.5,64.2,65.1,61.9,55.2,25.2%,11.1,-86.68348391132947,32.624818960315395,7.662082514734772,13.1630648330059,24.950884086444013,17.09233791748527,27.897838899803528,38.1139489194499,34.774066797642426,38.7033398821218,41.06090373280943,50.6876227897839,45.18664047151278,52.06286836935169,53.63457760314343,52.4557956777996,59.72495088408645,64.24361493123772,68.76227897838902,59.13555992141454,30.451866404715144,50.6876227897839,45.38310412573674,30.6483300589391,26.129666011787826,27.897838899803528,21.611001964636543,8.447937131630658
1,Alaska,2.6,2.5,2.3,2.3,2.3,2.4,2.5,2.7,2.9,3.0,3.2,3.3,3.3,3.0,3.2,3.2,3.5,3.3,3.3,3.2,3.0,3.2,3.1,2.6,2.9,2.9,2.7,17.4%,0.4,-154.1049168421551,61.494633991601496,-3.8461538461538494,-11.538461538461549,-11.538461538461549,-11.538461538461549,-7.692307692307699,-3.8461538461538494,3.8461538461538494,11.538461538461531,15.38461538461538,23.076923076923077,26.92307692307691,26.92307692307691,15.38461538461538,23.076923076923077,23.076923076923077,34.615384615384606,26.92307692307691,26.92307692307691,23.076923076923077,15.38461538461538,23.076923076923077,19.23076923076923,0.0,11.538461538461531,11.538461538461531,3.8461538461538494
2,Arizona,32.5,32.8,35.4,36.6,38.1,32.4,32.4,35.1,37.6,39.8,44.7,46.0,45.0,46.1,51.7,50.8,52.7,55.2,57.6,52.5,54.4,52.3,51.3,54.7,53.1,49.6,44.3,75.1%,19.0,-111.93368809976756,34.16977999870033,0.9230769230769144,8.923076923076918,12.61538461538462,17.230769230769237,-0.3076923076923121,-0.3076923076923121,8.000000000000004,15.692307692307697,22.461538461538453,37.53846153846155,41.53846153846154,38.46153846153847,41.84615384615385,59.07692307692308,56.30769230769231,62.15384615384616,69.84615384615385,77.23076923076924,61.53846153846154,67.38461538461537,60.92307692307691,57.84615384615384,68.30769230769232,63.38461538461539,52.61538461538462,36.3076923076923
3,Arkansas,21.3,21.3,21.6,19.4,21.6,23.5,25.7,24.1,25.7,26.8,26.4,27.0,25.5,26.3,27.1,25.3,27.4,28.6,29.0,28.8,32.3,34.2,34.6,35.5,35.5,27.0,30.2,297.4%,22.6,-92.13136814730896,34.751481341407754,0.0,1.4084507042253553,-8.920187793427239,1.4084507042253553,10.328638497652578,20.657276995305157,13.14553990610329,20.657276995305157,25.821596244131456,23.943661971830977,26.76056338028169,19.718309859154925,23.474178403755868,27.23004694835681,18.779342723004692,28.638497652582153,34.27230046948357,36.15023474178403,35.2112676056338,51.64319248826289,60.56338028169015,62.441314553990615,66.66666666666666,66.66666666666666,26.76056338028169,41.78403755868544
4,California,40.4,38.0,45.6,42.0,49.5,37.1,32.8,35.8,39.4,43.3,52.9,57.8,43.7,42.7,46.3,41.9,46.5,50.0,50.9,47.8,43.4,36.4,48.0,45.7,46.3,44.3,36.6,-40.1%,-24.5,-119.25893420059809,37.2689865508361,-5.940594059405938,12.87128712871288,3.960396039603964,22.524752475247528,-8.168316831683162,-18.811881188118814,-11.386138613861391,-2.4752475247524752,7.178217821782175,30.94059405940594,43.06930693069307,8.16831683168318,5.6930693069307035,14.6039603960396,3.7128712871287126,15.099009900990104,23.762376237623766,25.99009900990099,18.316831683168314,7.425742574257425,-9.900990099009901,18.811881188118814,13.11881188118813,14.6039603960396,9.65346534653465,-9.405940594059398
5,Colorado,30.9,30.3,31.2,31.8,33.2,32.2,33.9,34.1,35.5,35.6,39.2,41.4,40.1,40.3,40.3,40.6,41.6,42.9,41.0,38.4,39.9,38.9,39.1,38.5,37.7,36.6,35.3,69.7%,14.5,-105.54653433386612,38.996184486813995,-1.9417475728155271,0.9708737864077693,2.912621359223308,7.443365695792894,4.207119741100337,9.70873786407767,10.355987055016191,14.886731391585768,15.210355987055028,26.860841423948234,33.980582524271846,29.773462783171535,30.42071197411003,30.42071197411003,31.39158576051781,34.62783171521037,38.83495145631068,32.686084142394826,24.271844660194176,29.126213592233015,25.889967637540458,26.537216828478975,24.595469255663435,22.006472491909403,18.446601941747584,14.239482200647247
6,Connecticut,11.3,10.9,8.7,7.5,7.4,8.2,9.3,12.5,11.4,10.2,10.9,9.6,8.6,7.9,8.7,10.0,9.5,8.8,7.9,6.5,7.7,6.6,7.2,6.8,6.7,7.4,7.0,-34.6%,-3.7,-72.75674325127324,41.522910245423326,-3.5398230088495604,-23.008849557522133,-33.6283185840708,-34.51327433628319,-27.43362831858408,-17.699115044247787,10.619469026548666,0.8849557522123862,-9.734513274336296,-3.5398230088495604,-15.04424778761063,-23.89380530973452,-30.08849557522124,-23.008849557522133,-11.504424778761067,-15.929203539823014,-22.123893805309734,-30.08849557522124,-42.47787610619469,-31.85840707964602,-41.59292035398231,-36.283185840707965,-39.82300884955753,-40.707964601769916,-34.51327433628319,-38.05309734513275
7,Delaware,7.5,7.8,6.8,7.6,7.1,6.7,6.6,5.7,5.5,5.1,5.3,5.2,5.1,5.9,6.0,6.4,5.7,6.7,6.2,3.8,4.2,3.8,4.6,4.1,3.6,3.3,3.6,-37.9%,-2.2,-75.41835880264054,39.144860603673656,3.9999999999999973,-9.333333333333336,1.3333333333333286,-5.3333333333333375,-10.666666666666664,-12.000000000000005,-23.999999999999996,-26.666666666666668,-32.00000000000001,-29.333333333333332,-30.666666666666664,-32.00000000000001,-21.33333333333333,-20.0,-14.66666666666666,-23.999999999999996,-10.666666666666664,-17.333333333333332,-49.333333333333336,-44.0,-49.333333333333336,-38.66666666666667,-45.333333333333336,-52.0,-56.00000000000001,-52.0
8,District of Columbia,0.4,0.2,0.1,0.2,0.3,0.2,0.1,0.1,0.3,0.3,0.2,0.2,0.3,0.1,0.1,0.2,0.1,0.1,0.1,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,-100.0%,-0.8,-77.01661651028331,38.89088754438629,-50.0,-75.00000000000001,-50.0,-25.000000000000007,-50.0,-75.00000000000001,-75.00000000000001,-25.000000000000007,-25.000000000000007,-50.0,-50.0,-25.000000000000007,-75.00000000000001,-75.00000000000001,-50.0,-75.00000000000001,-75.00000000000001,-75.00000000000001,-100.0,-50.0,-50.0,-100.0,-100.0,-100.0,-100.0,-100.0
9,Florida,87.0,93.3,91.1,95.5,97.3,99.0,103.9,107.9,119.2,115.6,117.9,118.9,121.2,126.1,126.4,126.9,123.4,124.5,117.1,110.5,119.5,110.4,107.0,104.6,109.2,107.6,105.9,64.2%,41.4,-83.83831121052137,27.979766789918585,7.241379310344824,4.712643678160913,9.770114942528735,11.839080459770111,13.793103448275861,19.425287356321846,24.022988505747133,37.01149425287357,32.8735632183908,35.51724137931035,36.66666666666668,39.310344827586206,44.94252873563217,45.28735632183909,45.86206896551725,41.83908045977012,43.103448275862064,34.59770114942528,27.011494252873565,37.35632183908046,26.896551724137936,22.988505747126435,20.229885057471257,25.517241379310345,23.678160919540222,21.72413793103449
