,State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Percent,Absolute,Longitude,Latitude,Percent_Change_1991_1990,Percent_Change_1992_1990,Percent_Change_1993_1990,Percent_Change_1994_1990,Percent_Change_1995_1990,Percent_Change_1996_1990,Percent_Change_1997_1990,Percent_Change_1998_1990,Percent_Change_1999_1990,Percent_Change_2000_1990,Percent_Change_2001_1990,Percent_Change_2002_1990,Percent_Change_2003_1990,Percent_Change_2004_1990,Percent_Change_2005_1990,Percent_Change_2006_1990,Percent_Change_2007_1990,Percent_Change_2008_1990,Percent_Change_2009_1990,Percent_Change_2010_1990,Percent_Change_2011_1990,Percent_Change_2012_1990,Percent_Change_2013_1990,Percent_Change_2014_1990,Percent_Change_2015_1990,Percent_Change_2016_1990
0,Alabama,25.5,25.8,28.7,27.4,28.4,29.1,29.9,29.0,26.5,26.8,26.1,22.7,22.5,23.7,24.1,22.7,22.1,21.5,21.1,17.4,18.8,19.3,21.4,21.1,22.1,21.0,21.1,-33.4%,-10.6,-86.68348391132947,32.624818960315395,1.1764705882352968,12.549019607843134,7.450980392156857,11.372549019607838,14.117647058823534,17.25490196078431,13.725490196078432,3.9215686274509802,5.098039215686277,2.3529411764705936,-10.980392156862747,-11.76470588235294,-7.058823529411767,-5.490196078431367,-10.980392156862747,-13.333333333333327,-15.686274509803921,-17.25490196078431,-31.764705882352946,-26.274509803921564,-24.313725490196074,-16.078431372549026,-17.25490196078431,-13.333333333333327,-17.647058823529413,-17.25490196078431
1,Alaska,16.3,17.9,19.4,19.1,18.6,22.1,23.2,21.8,22.4,21.3,21.3,21.5,21.9,21.7,20.9,22.4,19.0,19.2,17.0,17.4,16.8,17.0,17.4,17.3,17.0,16.9,16.8,147.1%,10.0,-154.1049168421551,61.494633991601496,9.815950920245385,19.018404907975448,17.17791411042945,14.110429447852765,35.582822085889575,42.33128834355827,33.74233128834356,37.423312883435564,30.67484662576687,30.67484662576687,31.90184049079754,34.35582822085888,33.12883435582821,28.220858895705508,37.423312883435564,16.564417177914105,17.791411042944777,4.294478527607358,6.748466257668698,3.067484662576687,4.294478527607358,6.748466257668698,6.134969325153374,4.294478527607358,3.6809815950920117,3.067484662576687
2,Arizona,3.9,4.0,4.0,4.0,4.4,4.7,4.9,5.0,4.7,4.8,4.8,4.9,4.3,4.1,4.6,5.0,5.1,4.9,5.5,4.3,4.7,5.1,5.0,4.6,4.5,4.4,4.6,-13.2%,-0.7,-111.93368809976756,34.16977999870033,2.5641025641025665,2.5641025641025665,2.5641025641025665,12.820512820512834,20.51282051282052,25.641025641025657,28.20512820512821,20.51282051282052,23.076923076923077,23.076923076923077,25.641025641025657,10.256410256410255,5.1282051282051215,17.948717948717942,28.20512820512821,30.769230769230766,25.641025641025657,41.02564102564103,10.256410256410255,20.51282051282052,30.769230769230766,28.20512820512821,17.948717948717942,15.384615384615389,12.820512820512834,17.948717948717942
3,Arkansas,9.5,8.2,9.7,9.8,10.6,11.6,11.4,11.7,11.6,11.2,11.4,11.3,10.7,10.8,10.5,10.1,10.1,10.0,10.6,8.1,9.0,9.0,8.6,9.2,9.1,8.3,8.2,-23.4%,-2.5,-92.13136814730896,34.751481341407754,-13.684210526315796,2.1052631578947296,3.157894736842113,11.578947368421048,22.105263157894733,20.000000000000004,23.157894736842096,22.105263157894733,17.894736842105257,20.000000000000004,18.947368421052637,12.631578947368412,13.684210526315796,10.526315789473683,6.315789473684206,6.315789473684206,5.263157894736842,11.578947368421048,-14.736842105263163,-5.263157894736842,-5.263157894736842,-9.473684210526319,-3.157894736842113,-4.210526315789478,-12.631578947368412,-13.684210526315796
4,California,67.2,67.9,68.8,65.9,65.3,63.6,65.3,70.1,68.5,66.7,67.3,69.3,70.3,70.7,74.2,70.8,70.0,68.1,66.5,62.7,65.1,65.0,65.0,68.9,68.6,68.8,68.8,4.2%,2.8,-119.25893420059809,37.2689865508361,1.0416666666666707,2.3809523809523725,-1.934523809523805,-2.8273809523809605,-5.3571428571428585,-2.8273809523809605,4.315476190476178,1.934523809523805,-0.744047619047619,0.14880952380951534,3.124999999999991,4.613095238095229,5.208333333333333,10.416666666666666,5.357142857142849,4.1666666666666625,1.3392857142857015,-1.0416666666666707,-6.696428571428571,-3.1250000000000124,-3.273809523809528,-3.273809523809528,2.529761904761909,2.0833333333333206,2.3809523809523725,2.3809523809523725
5,Colorado,6.4,7.4,7.6,8.3,7.8,7.7,7.9,8.3,8.8,8.4,9.3,12.8,12.1,11.8,12.5,13.4,13.5,13.4,13.8,13.4,14.4,13.0,13.3,13.3,14.1,14.4,14.3,36.2%,3.8,-105.54653433386612,38.996184486813995,15.625,18.74999999999999,29.687500000000007,21.874999999999993,20.312499999999996,23.4375,29.687500000000007,37.50000000000001,31.25,45.31250000000001,100.0,89.06249999999999,84.375,95.31249999999999,109.375,110.93749999999997,109.375,115.625,109.375,125.0,103.12499999999997,107.8125,107.8125,120.31249999999997,125.0,123.4375
6,Connecticut,3.0,3.2,3.4,3.5,3.1,2.8,3.0,2.8,2.7,2.7,2.8,2.6,2.5,3.0,2.8,2.9,2.8,2.5,1.9,2.1,2.0,2.1,2.0,2.2,2.1,1.9,1.8,-71.4%,-4.5,-72.75674325127324,41.522910245423326,6.666666666666672,13.33333333333333,16.666666666666664,3.333333333333336,-6.666666666666672,0.0,-6.666666666666672,-9.999999999999993,-9.999999999999993,-6.666666666666672,-13.33333333333333,-16.666666666666664,0.0,-6.666666666666672,-3.333333333333336,-6.666666666666672,-16.666666666666664,-36.66666666666667,-30.0,-33.33333333333333,-30.0,-33.33333333333333,-26.66666666666666,-30.0,-36.66666666666667,-40.0
7,Delaware,2.9,2.8,3.0,3.3,3.5,3.4,3.3,3.1,3.1,3.4,3.7,3.7,3.2,2.9,3.1,3.3,3.1,3.0,2.8,1.5,0.8,2.7,3.1,3.2,3.1,3.2,3.4,-12.8%,-0.5,-75.41835880264054,39.144860603673656,-3.448275862068969,3.448275862068969,13.79310344827586,20.689655172413797,17.24137931034483,13.79310344827586,6.896551724137938,6.896551724137938,17.24137931034483,27.586206896551737,27.586206896551737,10.344827586206906,0.0,6.896551724137938,13.79310344827586,6.896551724137938,3.448275862068969,-3.448275862068969,-48.275862068965516,-72.41379310344827,-6.896551724137923,6.896551724137938,10.344827586206906,6.896551724137938,10.344827586206906,17.24137931034483
8,District of Columbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0%,-0.3,-77.01661651028331,38.89088754438629,,,,,,,,,inf,,inf,inf,inf,inf,inf,inf,,,,,,,,,,
9,Florida,12.4,11.8,13.4,14.7,15.5,16.9,16.9,15.7,16.0,16.2,15.3,14.5,13.0,13.9,12.8,13.1,13.2,11.9,11.6,10.4,11.8,10.4,10.7,11.1,10.9,11.7,12.0,-36.8%,-7.0,-83.83831121052137,27.979766789918585,-4.838709677419352,8.064516129032258,18.548387096774185,24.999999999999996,36.290322580645146,36.290322580645146,26.612903225806445,29.032258064516125,30.64516129032257,23.38709677419355,16.935483870967737,4.838709677419352,12.096774193548386,3.2258064516129057,5.645161290322575,6.451612903225798,-4.032258064516129,-6.451612903225811,-16.129032258064516,-4.838709677419352,-16.129032258064516,-13.709677419354845,-10.483870967741941,-12.096774193548386,-5.645161290322589,-3.2258064516129057
