,State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Percent,Absolute,Longitude,Latitude,Percent_Change_1991_1990,Percent_Change_1992_1990,Percent_Change_1993_1990,Percent_Change_1994_1990,Percent_Change_1995_1990,Percent_Change_1996_1990,Percent_Change_1997_1990,Percent_Change_1998_1990,Percent_Change_1999_1990,Percent_Change_2000_1990,Percent_Change_2001_1990,Percent_Change_2002_1990,Percent_Change_2003_1990,Percent_Change_2004_1990,Percent_Change_2005_1990,Percent_Change_2006_1990,Percent_Change_2007_1990,Percent_Change_2008_1990,Percent_Change_2009_1990,Percent_Change_2010_1990,Percent_Change_2011_1990,Percent_Change_2012_1990,Percent_Change_2013_1990,Percent_Change_2014_1990,Percent_Change_2015_1990,Percent_Change_2016_1990
0,Alabama,32.3,32.2,32.7,33.3,35.1,35.9,35.7,34.8,34.8,35.9,37.4,36.0,38.0,37.9,40.4,40.1,40.8,40.7,38.1,35.9,36.1,36.2,35.7,34.4,34.4,36.3,38.5,26.6%,8.1,-86.68348391132947,32.624818960315395,-0.30959752321979667,1.2383900928792748,3.0959752321981426,8.668730650154814,11.145510835913317,10.526315789473703,7.739938080495357,7.739938080495357,11.145510835913317,15.789473684210531,11.455108359133137,17.64705882352942,17.337461300309602,25.07739938080496,24.148606811145527,26.315789473684216,26.006191950464412,17.95665634674924,11.145510835913317,11.764705882352954,12.074303405572774,10.526315789473703,6.501547987616103,6.501547987616103,12.38390092879257,19.195046439628495
1,Alaska,16.2,14.6,15.2,15.4,15.8,16.9,17.4,18.4,18.6,19.7,19.6,20.1,19.8,20.5,23.9,23.8,24.6,23.2,20.0,18.4,19.8,19.3,18.4,17.1,16.2,16.7,15.8,71.7%,6.6,-154.1049168421551,61.494633991601496,-9.87654320987654,-6.17283950617284,-4.938271604938265,-2.469135802469127,4.320987654320983,7.407407407407403,13.580246913580243,14.814814814814827,21.60493827160494,20.987654320987666,24.07407407407409,22.222222222222232,26.543209876543216,47.53086419753087,46.91358024691359,51.85185185185187,43.20987654320988,23.456790123456795,13.580246913580243,22.222222222222232,19.13580246913581,13.580246913580243,5.55555555555557,0.0,3.08641975308642,-2.469135802469127
2,Arizona,23.6,24.2,24.6,26.0,26.4,27.5,29.4,29.3,31.5,33.4,34.2,35.4,35.8,36.6,37.5,38.7,39.7,39.1,37.2,34.3,34.2,34.4,33.7,34.2,34.1,35.1,36.7,79.0%,16.2,-111.93368809976756,34.16977999870033,2.542372881355923,4.23728813559322,10.169491525423723,11.864406779661005,16.52542372881355,24.576271186440664,24.152542372881353,33.474576271186436,41.52542372881354,44.91525423728814,49.999999999999986,51.69491525423726,55.08474576271186,58.89830508474575,63.98305084745763,68.22033898305085,65.6779661016949,57.6271186440678,45.33898305084744,44.91525423728814,45.76271186440676,42.79661016949153,44.91525423728814,44.49152542372881,48.728813559322035,55.5084745762712
3,Arkansas,18.5,18.2,18.7,19.4,20.5,21.1,21.4,22.2,22.4,24.2,24.7,24.6,24.0,24.5,25.3,25.2,24.9,25.1,25.2,23.4,23.5,23.0,22.0,22.3,22.5,22.1,22.4,12.6%,2.5,-92.13136814730896,34.751481341407754,-1.6216216216216255,1.0810810810810774,4.864864864864858,10.81081081081081,14.05405405405406,15.675675675675668,19.999999999999996,21.081081081081074,30.810810810810807,33.51351351351351,32.97297297297298,29.72972972972973,32.432432432432435,36.75675675675676,36.21621621621621,34.59459459459458,35.675675675675684,36.21621621621621,26.486486486486477,27.027027027027028,24.324324324324326,18.91891891891892,20.540540540540544,21.62162162162162,19.459459459459467,21.081081081081074
4,California,239.8,221.1,220.8,215.4,225.2,225.8,229.6,223.1,222.9,228.1,240.3,241.9,250.4,239.4,249.7,255.1,259.8,260.1,244.3,236.3,234.2,226.9,218.7,220.8,221.4,231.4,239.0,-1.3%,-3.1,-119.25893420059809,37.2689865508361,-7.798165137614686,-7.923269391159299,-10.17514595496247,-6.088407005838207,-5.838198498748957,-4.253544620517104,-6.9641367806505485,-7.047539616346958,-4.8790658882402065,0.2085070892410342,0.8757297748123413,4.420350291909923,-0.1668056713928297,4.128440366972468,6.380316930775638,8.340283569641366,8.465387823185992,1.8765638031693077,-1.4595496246872393,-2.3352793994995924,-5.379482902418684,-8.798999165971653,-7.923269391159299,-7.673060884070059,-3.502919099249377,-0.3336113427856594
5,Colorado,21.0,21.4,22.0,23.7,23.7,24.3,25.2,24.5,25.7,27.4,28.4,30.2,29.5,29.7,32.8,33.3,34.6,34.9,33.5,31.7,32.3,31.5,31.3,31.3,32.2,32.3,32.1,47.2%,10.3,-105.54653433386612,38.996184486813995,1.904761904761898,4.761904761904762,12.857142857142852,12.857142857142852,15.714285714285717,19.999999999999996,16.666666666666664,22.380952380952376,30.476190476190467,35.23809523809523,43.8095238095238,40.476190476190474,41.42857142857142,56.19047619047618,58.57142857142856,64.76190476190476,66.19047619047619,59.523809523809526,50.95238095238095,53.809523809523796,50.0,49.04761904761905,49.04761904761905,53.33333333333334,53.809523809523796,52.85714285714287
6,Connecticut,31.5,30.2,30.0,28.2,26.9,25.4,28.5,30.6,30.2,31.9,30.9,30.0,27.2,30.5,31.6,31.0,27.4,26.7,24.4,23.4,22.7,21.8,20.7,21.4,21.4,22.0,20.6,-44.3%,-16.4,-72.75674325127324,41.522910245423326,-4.126984126984129,-4.761904761904762,-10.476190476190478,-14.603174603174606,-19.365079365079367,-9.523809523809524,-2.8571428571428523,-4.126984126984129,1.2698412698412653,-1.9047619047619095,-4.761904761904762,-13.650793650793652,-3.1746031746031744,0.317460317460322,-1.5873015873015872,-13.01587301587302,-15.238095238095239,-22.53968253968254,-25.71428571428572,-27.936507936507937,-30.79365079365079,-34.285714285714285,-32.06349206349206,-32.06349206349206,-30.158730158730158,-34.603174603174594
7,Delaware,9.0,9.8,9.8,9.5,9.0,7.9,9.0,8.2,8.4,8.7,8.6,9.1,8.6,8.8,8.3,8.8,8.0,7.9,7.2,6.0,5.4,6.2,6.2,6.0,6.1,6.5,6.5,-50.4%,-6.6,-75.41835880264054,39.144860603673656,8.888888888888896,8.888888888888896,5.555555555555555,0.0,-12.222222222222218,0.0,-8.888888888888896,-6.6666666666666625,-3.333333333333341,-4.444444444444448,1.1111111111111072,-4.444444444444448,-2.2222222222222143,-7.77777777777777,-2.2222222222222143,-11.11111111111111,-12.222222222222218,-20.0,-33.33333333333333,-40.0,-31.11111111111111,-31.11111111111111,-33.33333333333333,-32.22222222222222,-27.77777777777778,-27.77777777777778
8,District of Columbia,2.7,2.6,2.5,2.7,2.7,2.7,2.5,2.3,2.4,2.4,2.5,2.4,2.4,2.1,2.2,2.0,1.6,1.5,1.3,1.3,1.4,1.3,1.1,1.0,1.1,1.2,1.2,-65.7%,-2.3,-77.01661651028331,38.89088754438629,-3.703703703703707,-7.407407407407414,0.0,0.0,0.0,-7.407407407407414,-14.814814814814827,-11.11111111111112,-11.11111111111112,-7.407407407407414,-11.11111111111112,-11.11111111111112,-22.222222222222225,-18.51851851851852,-25.92592592592593,-40.74074074074075,-44.44444444444445,-51.85185185185185,-51.85185185185185,-48.14814814814816,-51.85185185185185,-59.25925925925925,-62.96296296296296,-59.25925925925925,-55.55555555555556,-55.55555555555556
9,Florida,110.8,109.3,111.2,114.4,118.3,112.7,113.6,119.0,133.2,132.8,137.5,139.8,136.3,139.7,151.1,154.4,144.7,138.7,121.6,112.0,119.5,111.5,105.7,108.3,109.2,115.0,114.8,-4.2%,-5.0,-83.83831121052137,27.979766789918585,-1.3537906137184115,0.3610108303249149,3.2490974729241957,6.768953068592058,1.7148014440433266,2.5270758122743655,7.400722021660652,20.21660649819494,19.85559566787005,24.09747292418773,26.173285198555966,23.01444043321301,26.083032490974723,36.371841155234655,39.350180505415175,30.595667870036092,25.180505415162447,9.747292418772561,1.0830324909747318,7.85198555956679,0.6317689530685946,-4.6028880866425945,-2.256317689530686,-1.4440433212996338,3.7906137184115547,3.6101083032490973
10,Georgia,55.0,53.0,54.3,59.4,59.9,62.9,66.6,64.0,65.3,68.0,68.9,68.8,68.6,70.6,73.5,76.5,74.5,72.0,65.1,68.6,70.4,68.2,61.9,60.7,58.8,61.9,59.9,26.9%,12.7,-83.25185689899675,32.68082922876843,-3.6363636363636362,-1.272727272727278,7.999999999999997,8.909090909090907,14.363636363636362,21.09090909090908,16.363636363636363,18.727272727272723,23.636363636363637,25.272727272727284,25.090909090909086,24.727272727272716,28.363636363636353,33.63636363636363,39.09090909090909,35.45454545454545,30.909090909090907,18.363636363636353,24.727272727272716,28.000000000000007,24.000000000000004,12.545454545454543,10.363636363636369,6.909090909090904,12.545454545454543,8.909090909090907
11,Hawaii,21.5,19.5,20.0,17.4,18.8,18.3,17.3,16.7,17.0,16.7,17.0,17.4,18.8,19.6,20.6,21.4,21.7,22.4,17.5,17.2,17.4,17.9,17.3,17.0,16.7,17.0,16.9,-7.1%,-1.3,-157.516751085128,20.575453090217934,-9.30232558139535,-6.976744186046512,-19.06976744186047,-12.558139534883717,-14.883720930232554,-19.534883720930228,-22.32558139534884,-20.930232558139537,-22.32558139534884,-20.930232558139537,-19.06976744186047,-12.558139534883717,-8.837209302325574,-4.186046511627901,-0.46511627906977404,0.9302325581395315,4.186046511627901,-18.6046511627907,-20.000000000000004,-19.06976744186047,-16.744186046511633,-19.534883720930228,-20.930232558139537,-22.32558139534884,-20.930232558139537,-21.39534883720931
12,Idaho,7.9,8.1,7.8,8.5,8.6,9.1,9.7,9.5,9.5,10.3,10.4,10.2,10.2,9.7,10.3,10.6,10.9,10.9,9.9,9.8,10.7,10.6,10.4,10.7,11.0,11.8,12.3,59.7%,4.6,-114.14184603145195,45.497274995139726,2.531645569620244,-1.2658227848101333,7.594936708860754,8.860759493670876,15.189873417721508,22.784810126582265,20.25316455696202,20.25316455696202,30.37974683544304,31.645569620253163,29.113924050632896,29.113924050632896,22.784810126582265,30.37974683544304,34.17721518987341,37.974683544303794,37.974683544303794,25.316455696202528,24.05063291139241,35.44303797468353,34.17721518987341,31.645569620253163,35.44303797468353,39.24050632911392,49.36708860759494,55.69620253164557
13,Illinois,70.1,66.5,67.5,71.4,70.8,71.8,74.6,75.0,73.9,80.2,80.6,79.3,76.4,80.3,84.3,91.5,87.6,87.1,82.6,78.3,78.0,77.2,74.8,76.3,77.6,81.2,82.4,-13.9%,-13.3,-89.51209675156687,39.74809300028514,-5.1355206847360835,-3.70898716119828,1.8544935805991605,0.9985734664764663,2.4251069900142697,6.419400855920114,6.990014265335244,5.4208273894436685,14.407988587731824,14.978601997146935,13.124108416547795,8.987161198288177,14.5506419400856,20.256776034236808,30.527817403708994,24.964336661911556,24.251069900142657,17.83166904422254,11.69757489300999,11.269614835948653,10.128388017118416,6.704707560627679,8.844507845934384,10.699001426533524,15.834522111269628,17.546362339514996
14,Indiana,52.1,50.4,50.3,50.9,52.4,52.4,52.0,52.4,52.6,53.8,55.5,51.5,55.2,57.4,54.8,54.8,55.2,54.1,50.4,48.1,49.2,49.8,47.3,51.0,51.9,52.2,51.3,2.8%,1.4,-86.44446799923962,39.770882296601854,-3.2629558541266848,-3.454894433781198,-2.303262955854132,0.5758157389635262,0.5758157389635262,-0.19193857965451327,0.5758157389635262,0.9596928982725527,3.2629558541266714,6.525911708253355,-1.151631477927066,5.95009596928983,10.172744721689053,5.182341650671777,5.182341650671777,5.95009596928983,3.8387715930902107,-3.2629558541266848,-7.677543186180421,-5.566218809980803,-4.414587332053751,-9.213051823416514,-2.1113243761996188,-0.38387715930902655,0.19193857965451327,-1.5355086372360927
15,Iowa,19.4,19.2,19.9,21.9,22.4,23.1,23.3,22.8,24.7,25.0,24.9,24.4,25.2,24.3,26.7,26.9,27.9,27.3,27.4,27.0,27.0,27.1,25.4,26.7,27.4,26.9,28.2,22.6%,5.2,-93.39175299369869,41.93670200422355,-1.0309278350515427,2.577319587628866,12.886597938144332,15.463917525773196,19.072164948453622,20.103092783505165,17.5257731958763,27.31958762886599,28.865979381443307,28.35051546391753,25.773195876288664,29.89690721649485,25.257731958762896,37.62886597938145,38.659793814432994,43.81443298969073,40.7216494845361,41.23711340206186,39.17525773195877,39.17525773195877,39.69072164948456,30.927835051546392,37.62886597938145,41.23711340206186,38.659793814432994,45.36082474226804
16,Kansas,24.9,22.7,23.6,22.0,20.9,21.9,23.3,24.1,24.0,26.9,24.8,23.4,23.1,26.4,25.1,22.0,23.2,26.7,23.6,23.3,23.3,22.5,22.4,23.2,24.2,23.2,23.4,-1.3%,-0.3,-98.32637995376105,38.49593176023882,-8.835341365461845,-5.220883534136535,-11.646586345381522,-16.06425702811245,-12.048192771084338,-6.425702811244973,-3.2128514056224784,-3.6144578313252955,8.032128514056225,-0.4016064257028027,-6.024096385542169,-7.228915662650591,6.024096385542169,0.8032128514056338,-11.646586345381522,-6.827309236947789,7.228915662650606,-5.220883534136535,-6.425702811244973,-6.425702811244973,-9.638554216867465,-10.040160642570282,-6.827309236947789,-2.811244979919676,-6.827309236947789,-6.024096385542169
