,State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Percent,Absolute,Longitude,Latitude,Percent_Change_1991_1990,Percent_Change_1992_1990,Percent_Change_1993_1990,Percent_Change_1994_1990,Percent_Change_1995_1990,Percent_Change_1996_1990,Percent_Change_1997_1990,Percent_Change_1998_1990,Percent_Change_1999_1990,Percent_Change_2000_1990,Percent_Change_2001_1990,Percent_Change_2002_1990,Percent_Change_2003_1990,Percent_Change_2004_1990,Percent_Change_2005_1990,Percent_Change_2006_1990,Percent_Change_2007_1990,Percent_Change_2008_1990,Percent_Change_2009_1990,Percent_Change_2010_1990,Percent_Change_2011_1990,Percent_Change_2012_1990,Percent_Change_2013_1990,Percent_Change_2014_1990,Percent_Change_2015_1990,Percent_Change_2016_1990
0,Alabama,3.1,3.0,3.2,3.4,3.3,3.3,3.7,3.4,3.1,3.3,3.7,3.5,3.2,3.1,3.0,2.7,2.5,2.4,2.5,2.5,2.9,2.3,1.8,2.2,2.4,2.1,1.9,-47.2%,-1.7,-86.68348391132947,32.624818960315395,-3.2258064516129057,3.2258064516129057,9.677419354838705,6.451612903225798,6.451612903225798,19.35483870967742,9.677419354838705,0.0,6.451612903225798,19.35483870967742,12.90322580645161,3.2258064516129057,0.0,-3.2258064516129057,-12.90322580645161,-19.35483870967742,-22.580645161290327,-19.35483870967742,-19.35483870967742,-6.451612903225811,-25.806451612903235,-41.935483870967744,-29.032258064516125,-22.580645161290327,-32.25806451612903,-38.70967741935484
1,Alaska,1.6,1.6,1.7,1.7,1.8,1.8,1.8,1.7,1.6,1.9,1.7,1.8,1.6,1.7,1.8,1.8,2.1,1.8,1.8,1.7,1.7,1.7,1.8,1.6,1.5,1.6,1.5,66.7%,0.6,-154.1049168421551,61.494633991601496,0.0,6.249999999999992,6.249999999999992,12.499999999999996,12.499999999999996,12.499999999999996,6.249999999999992,0.0,18.74999999999999,6.249999999999992,12.499999999999996,0.0,6.249999999999992,12.499999999999996,12.499999999999996,31.25,12.499999999999996,12.499999999999996,6.249999999999992,6.249999999999992,6.249999999999992,12.499999999999996,0.0,-6.250000000000005,0.0,-6.250000000000005
2,Arizona,1.8,1.9,1.8,1.7,1.8,1.7,1.7,1.8,2.2,2.1,2.1,2.2,2.2,2.1,2.2,2.1,2.2,2.3,2.4,2.2,2.3,2.4,2.1,2.4,2.0,2.1,2.2,22.2%,0.4,-111.93368809976756,34.16977999870033,5.555555555555548,0.0,-5.55555555555556,0.0,-5.55555555555556,-5.55555555555556,0.0,22.22222222222223,16.666666666666668,16.666666666666668,22.22222222222223,22.22222222222223,16.666666666666668,22.22222222222223,16.666666666666668,22.22222222222223,27.77777777777776,33.33333333333333,22.22222222222223,27.77777777777776,33.33333333333333,16.666666666666668,33.33333333333333,11.111111111111107,16.666666666666668,22.22222222222223
3,Arkansas,2.5,2.6,2.5,2.8,2.6,2.7,2.9,2.7,2.4,2.7,2.9,2.7,2.6,2.5,2.3,2.2,2.1,2.1,2.3,2.2,2.3,2.1,1.6,2.2,2.4,2.0,1.7,-43.3%,-1.3,-92.13136814730896,34.751481341407754,4.0000000000000036,0.0,11.999999999999993,4.0000000000000036,8.000000000000007,15.999999999999998,8.000000000000007,-4.0000000000000036,8.000000000000007,15.999999999999998,8.000000000000007,4.0000000000000036,0.0,-8.000000000000007,-11.999999999999993,-15.999999999999998,-15.999999999999998,-8.000000000000007,-11.999999999999993,-8.000000000000007,-15.999999999999998,-36.0,-11.999999999999993,-4.0000000000000036,-20.0,-32.0
4,California,29.5,29.3,27.2,28.8,29.4,26.8,27.0,26.8,32.3,32.0,27.6,28.7,28.7,28.4,29.4,28.2,28.4,28.6,28.8,28.3,28.9,29.7,27.3,27.7,22.9,23.4,24.1,-20.7%,-6.3,-119.25893420059809,37.2689865508361,-0.6779661016949128,-7.796610169491528,-2.372881355932201,-0.33898305084746244,-9.152542372881353,-8.47457627118644,-9.152542372881353,9.491525423728804,8.47457627118644,-6.44067796610169,-2.7118644067796636,-2.7118644067796636,-3.728813559322039,-0.33898305084746244,-4.406779661016952,-3.728813559322039,-3.050847457627114,-2.372881355932201,-4.06779661016949,-2.0338983050847506,0.6779661016949128,-7.457627118644066,-6.10169491525424,-22.372881355932208,-20.67796610169492,-18.305084745762706
5,Colorado,5.0,5.7,5.4,6.0,5.6,6.0,6.4,6.2,5.9,6.4,6.8,7.2,7.5,7.6,7.2,7.5,7.1,7.8,8.0,7.6,7.8,7.8,7.0,8.1,8.0,7.5,7.5,50.0%,2.5,-105.54653433386612,38.996184486813995,14.000000000000004,8.000000000000007,20.0,11.999999999999993,20.0,28.000000000000007,24.000000000000004,18.000000000000007,28.000000000000007,36.0,44.00000000000001,50.0,51.99999999999999,44.00000000000001,50.0,41.99999999999999,55.99999999999999,60.0,51.99999999999999,55.99999999999999,55.99999999999999,40.0,61.999999999999986,60.0,50.0,50.0
6,Connecticut,8.1,7.8,9.3,8.9,8.5,7.8,8.3,8.0,7.0,7.9,8.6,8.3,8.1,9.6,10.1,9.2,8.0,8.2,8.0,8.1,7.5,7.2,6.6,7.2,7.5,7.7,6.3,-18.2%,-1.4,-72.75674325127324,41.522910245423326,-3.7037037037037015,14.814814814814827,9.876543209876552,4.938271604938276,-3.7037037037037015,2.469135802469149,-1.2345679012345634,-13.580246913580243,-2.469135802469127,6.17283950617284,2.469135802469149,0.0,18.51851851851852,24.69135802469136,13.580246913580243,-1.2345679012345634,1.2345679012345634,-1.2345679012345634,0.0,-7.407407407407403,-11.111111111111105,-18.51851851851852,-11.111111111111105,-7.407407407407403,-4.938271604938265,-22.22222222222222
7,Delaware,1.0,1.1,1.1,1.1,1.2,1.2,1.3,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.2,1.2,1.0,1.0,1.0,1.0,1.0,0.9,0.8,0.9,1.0,1.0,0.8,-27.3%,-0.3,-75.41835880264054,39.144860603673656,10.000000000000009,10.000000000000009,10.000000000000009,19.999999999999996,19.999999999999996,30.000000000000004,10.000000000000009,10.000000000000009,10.000000000000009,19.999999999999996,19.999999999999996,19.999999999999996,30.000000000000004,19.999999999999996,19.999999999999996,0.0,0.0,0.0,0.0,0.0,-9.999999999999998,-19.999999999999996,-9.999999999999998,0.0,0.0,-19.999999999999996
8,District of Columbia,0.9,0.9,1.0,1.0,0.9,1.0,1.1,1.0,0.8,0.9,0.9,0.8,0.9,1.0,0.9,0.9,0.7,0.8,0.8,0.8,0.8,0.7,0.7,0.8,0.8,0.8,0.6,-45.5%,-0.5,-77.01661651028331,38.89088754438629,0.0,11.111111111111107,11.111111111111107,0.0,11.111111111111107,22.22222222222223,11.111111111111107,-11.111111111111107,0.0,0.0,-11.111111111111107,0.0,11.111111111111107,0.0,0.0,-22.22222222222223,-11.111111111111107,-11.111111111111107,-11.111111111111107,-11.111111111111107,-22.22222222222223,-22.22222222222223,-11.111111111111107,-11.111111111111107,-11.111111111111107,-33.333333333333336
9,Florida,1.5,1.6,1.7,1.7,1.6,1.5,1.7,1.4,1.4,1.4,1.5,1.4,1.4,1.4,1.5,1.5,1.4,1.3,1.3,1.4,1.6,1.3,1.1,1.1,1.3,1.2,1.2,-45.5%,-1.0,-83.83831121052137,27.979766789918585,6.666666666666672,13.33333333333333,13.33333333333333,6.666666666666672,0.0,13.33333333333333,-6.666666666666672,-6.666666666666672,-6.666666666666672,0.0,-6.666666666666672,-6.666666666666672,-6.666666666666672,0.0,0.0,-6.666666666666672,-13.33333333333333,-13.33333333333333,-6.666666666666672,6.666666666666672,-13.33333333333333,-26.66666666666666,-26.66666666666666,-13.33333333333333,-20.000000000000004,-20.000000000000004
