,State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Percent,Absolute,Longitude,Latitude,Percent_Change_1991_1990,Percent_Change_1992_1990,Percent_Change_1993_1990,Percent_Change_1994_1990,Percent_Change_1995_1990,Percent_Change_1996_1990,Percent_Change_1997_1990,Percent_Change_1998_1990,Percent_Change_1999_1990,Percent_Change_2000_1990,Percent_Change_2001_1990,Percent_Change_2002_1990,Percent_Change_2003_1990,Percent_Change_2004_1990,Percent_Change_2005_1990,Percent_Change_2006_1990,Percent_Change_2007_1990,Percent_Change_2008_1990,Percent_Change_2009_1990,Percent_Change_2010_1990,Percent_Change_2011_1990,Percent_Change_2012_1990,Percent_Change_2013_1990,Percent_Change_2014_1990,Percent_Change_2015_1990,Percent_Change_2016_1990
0,Alabama,28.0,28.6,29.3,29.4,30.6,32.1,31.4,31.1,31.6,32.0,33.4,31.4,33.4,32.3,34.8,34.7,35.3,35.6,33.0,31.9,32.2,32.3,31.8,31.6,31.6,32.9,34.7,39.9%,9.9,-86.68348391132947,32.624818960315395,2.142857142857148,4.642857142857145,4.999999999999995,9.28571428571429,14.64285714285715,12.142857142857137,11.071428571428577,12.857142857142861,14.285714285714285,19.28571428571428,12.142857142857137,19.28571428571428,15.357142857142847,24.285714285714274,23.928571428571438,26.071428571428562,27.142857142857146,17.857142857142858,13.928571428571423,15.00000000000001,15.357142857142847,13.571428571428573,12.857142857142861,12.857142857142861,17.499999999999996,23.928571428571438
1,Alaska,12.0,11.1,10.8,11.0,11.2,12.3,11.8,13.3,13.5,14.6,15.5,14.5,14.8,15.5,18.8,18.7,18.9,17.8,15.3,13.5,14.9,14.2,13.3,12.3,11.7,12.2,11.9,85.9%,5.5,-154.1049168421551,61.494633991601496,-7.500000000000003,-9.999999999999993,-8.333333333333332,-6.666666666666672,2.500000000000006,-1.6666666666666607,10.83333333333334,12.5,21.666666666666664,29.166666666666668,20.833333333333336,23.33333333333334,29.166666666666668,56.66666666666668,55.83333333333332,57.499999999999986,48.33333333333334,27.500000000000007,12.5,24.16666666666667,18.333333333333325,10.83333333333334,2.500000000000006,-2.500000000000006,1.6666666666666607,-0.8333333333333304
2,Arizona,22.7,23.3,23.6,24.9,25.6,26.1,27.6,27.6,29.8,31.5,32.3,33.3,34.2,35.2,36.0,36.7,37.9,37.4,34.4,32.3,31.6,31.3,30.7,31.1,31.3,31.9,33.1,78.9%,14.6,-111.93368809976756,34.16977999870033,2.643171806167407,3.964757709251111,9.691629955947134,12.77533039647578,14.97797356828195,21.58590308370045,21.58590308370045,31.277533039647587,38.766519823788556,42.2907488986784,46.69603524229074,50.660792951541865,55.0660792951542,58.590308370044056,61.6740088105727,66.96035242290749,64.75770925110133,51.541850220264315,42.2907488986784,39.20704845814979,37.885462555066084,35.24229074889868,37.00440528634362,37.885462555066084,40.52863436123348,45.8149779735683
3,Arkansas,16.0,16.2,16.1,16.8,18.0,18.4,18.7,19.3,19.5,20.7,20.8,19.7,20.3,20.2,20.5,20.5,20.5,20.8,20.1,19.9,19.6,19.4,18.7,18.7,19.0,18.8,19.4,35.7%,5.1,-92.13136814730896,34.751481341407754,1.2499999999999956,0.6250000000000089,5.000000000000004,12.5,14.999999999999991,16.874999999999996,20.625000000000004,21.875,29.374999999999996,30.000000000000004,23.124999999999996,26.875000000000004,26.249999999999996,28.125,28.125,28.125,30.000000000000004,25.625000000000007,24.374999999999993,22.500000000000007,21.249999999999993,16.874999999999996,16.874999999999996,18.75,17.500000000000004,21.249999999999993
4,California,203.2,192.5,192.2,188.5,197.0,201.2,204.4,198.8,199.6,204.0,215.1,211.0,223.2,213.2,222.7,228.6,232.9,235.5,219.7,213.7,209.2,201.8,196.9,197.7,200.1,205.7,213.0,24.6%,42.1,-119.25893420059809,37.2689865508361,-5.265748031496058,-5.413385826771654,-7.234251968503933,-3.0511811023621993,-0.984251968503937,0.5905511811023706,-2.1653543307086505,-1.771653543307084,0.39370078740158043,5.856299212598428,3.83858267716536,9.84251968503937,4.921259842519685,9.596456692913387,12.500000000000004,14.616141732283475,15.89566929133859,8.120078740157481,5.167322834645669,2.952755905511811,-0.6889763779527448,-3.1003937007873934,-2.706692913385827,-1.5255905511810997,1.2303149606299213,4.822834645669297
5,Colorado,19.0,19.2,19.5,21.3,21.6,22.3,22.8,22.6,23.7,25.2,25.5,26.9,26.7,26.3,29.0,29.6,30.4,31.0,29.5,28.7,29.0,28.0,27.9,27.5,28.2,27.9,28.2,59.3%,10.5,-105.54653433386612,38.996184486813995,1.0526315789473648,2.631578947368421,12.105263157894742,13.684210526315796,17.368421052631582,20.000000000000004,18.947368421052637,24.736842105263154,32.63157894736842,34.21052631578947,41.57894736842104,40.526315789473685,38.42105263157895,52.63157894736842,55.789473684210535,60.0,63.1578947368421,55.26315789473685,51.05263157894736,52.63157894736842,47.368421052631575,46.84210526315788,44.73684210526316,48.421052631578945,46.84210526315788,48.421052631578945
6,Connecticut,14.6,14.5,14.6,14.7,14.6,14.3,15.1,15.2,15.4,16.6,16.1,16.9,16.8,17.3,19.2,18.3,17.5,17.4,16.4,16.0,15.7,15.5,15.1,15.2,15.1,15.1,15.3,15.9%,2.1,-72.75674325127324,41.522910245423326,-0.6849315068493127,0.0,0.6849315068493127,0.0,-2.054794520547938,3.4246575342465753,4.109589041095888,5.479452054794526,13.698630136986315,10.273972602739738,15.75342465753424,15.068493150684938,18.493150684931514,31.506849315068493,25.342465753424666,19.863013698630137,19.178082191780817,12.328767123287664,9.589041095890414,7.534246575342464,6.164383561643838,3.4246575342465753,4.109589041095888,3.4246575342465753,3.4246575342465753,4.794520547945213
7,Delaware,4.5,5.1,4.7,4.9,4.6,4.3,4.8,4.7,4.7,4.9,5.1,4.7,4.9,4.8,4.9,5.2,5.2,5.2,5.0,4.8,4.3,4.1,4.2,4.1,4.2,4.4,4.6,17.9%,0.7,-75.41835880264054,39.144860603673656,13.333333333333325,4.444444444444448,8.888888888888896,2.2222222222222143,-4.444444444444448,6.6666666666666625,4.444444444444448,4.444444444444448,8.888888888888896,13.333333333333325,4.444444444444448,8.888888888888896,6.6666666666666625,8.888888888888896,15.555555555555559,15.555555555555559,15.555555555555559,11.11111111111111,6.6666666666666625,-4.444444444444448,-8.888888888888896,-6.6666666666666625,-8.888888888888896,-6.6666666666666625,-2.2222222222222143,2.2222222222222143
8,District of Columbia,1.8,1.8,1.8,1.9,1.8,1.8,1.7,1.8,1.7,1.7,1.8,1.7,1.6,1.6,1.7,1.4,1.2,1.2,1.0,1.1,1.0,1.1,1.0,1.0,1.1,1.1,1.1,-42.1%,-0.8,-77.01661651028331,38.89088754438629,0.0,0.0,5.555555555555548,0.0,0.0,-5.55555555555556,0.0,-5.55555555555556,-5.55555555555556,0.0,-5.55555555555556,-11.111111111111107,-11.111111111111107,-5.55555555555556,-22.22222222222223,-33.333333333333336,-33.333333333333336,-44.44444444444445,-38.888888888888886,-44.44444444444445,-38.888888888888886,-44.44444444444445,-44.44444444444445,-38.888888888888886,-38.888888888888886,-38.888888888888886
9,Florida,81.4,77.1,79.9,78.9,84.4,86.5,87.2,90.4,91.8,94.5,100.3,98.8,101.2,99.6,110.6,113.5,116.0,114.4,103.7,97.2,104.2,102.4,99.5,100.0,101.1,104.8,103.6,51.9%,35.4,-83.83831121052137,27.979766789918585,-5.282555282555297,-1.8427518427518428,-3.071253071253071,3.6855036855036856,6.265356265356258,7.125307125307121,11.056511056511056,12.776412776412766,16.093366093366086,23.218673218673207,21.375921375921365,24.32432432432432,22.358722358722343,35.872235872235855,39.43488943488943,42.506142506142496,40.54054054054054,27.39557739557739,19.410319410319403,28.009828009828002,25.798525798525795,22.23587223587223,22.85012285012284,24.201474201474184,28.746928746928734,27.27272727272726
